Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority
AB1 0BN,No,57.069315,-2.258012,384454,797616,NO844976,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",,96,,S01006853,
AB1 0BP,No,57.067255,-2.272212,383592,797390,NO835973,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",,95,,S01006853,
AB1 0BQ,No,57.067838,-2.284733,382833,797458,NO828974,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",,98,,S01006853,
AB1 0BR,No,57.062166,-2.278342,383218,796825,NO832968,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",,121,,S01006853,
AB1 0BS,No,57.051405,-2.265256,384007,795624,NO840956,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",,129,,S01006853,
AB1 0BT,No,57.057096,-2.250046,384932,796254,NO849962,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",,105,,S01006853,
AB1 0BX,No,57.069305,-2.235583,385814,797610,NO858976,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",,97,,S01006853,
AB1 0BY,No,57.082284,-2.236671,385753,799055,NO857990,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1986-05-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",,91,,S01006853,
AB1 0BZ,No,57.082729,-2.238588,385637,799105,NO856991,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1986-05-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",,94,,S01006853,
AB1 0DA,No,57.064198,-2.228427,386246,797040,NO862970,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",,97,,S01006853,
AB1 0DB,No,57.070239,-2.244907,385249,797716,NO852977,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",,99,,S01006853,
AB1 0DD,No,57.097814,-2.228007,386284,800782,NJ862007,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",,14,,S01006853,
AB1 0DJ,No,57.102797,-2.243454,385350,801340,NJ853013,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",,60,,S01006514,
AB1 0DL,No,57.101478,-2.242852,385386,801193,NJ853011,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",,46,,S01006514,
AB1 0DN,No,57.101897,-2.239883,385566,801239,NJ855012,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",,44,,S01006514,
AB1 0DP,No,57.101386,-2.238956,385622,801182,NJ856011,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",,36,,S01006514,
